#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
,,,,,,,,,,,,,
178,Macao,45,,,,44,1,1,69,,,,648258
179,Burundi,42,,1,,20,21,,4,0.08,284,24,11844472
180,Saint Martin,39,,3,,30,6,1,1011,78,,,38585
181,Eritrea,39,,,,39,0,,11,,,,3540444
182,Nicaragua,25,,8,,7,10,,4,1,,,6615040
183,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1871,97833
184,Botswana,25,,1,,17,7,,11,0.4,13294,5667,2345678
185,Gambia,24,,1,,13,10,,10,0.4,1476,613,2407856
186,Timor-Leste,24,,,,24,0,,18,,738,561,1315315
187,Grenada,22,,,,14,8,4,196,,2419,21509,112462
188,Bhutan,21,,,,5,16,,27,,13962,18119,770586
189,Laos,19,,,,14,5,,3,,4565,629,7262665
190,Belize,18,,2,,16,0,,45,5,1043,2629,396732
191,Fiji,18,,,,15,3,,20,,13,1451,895677
192,New Caledonia,18,,,,18,0,,63,,5454,19125,28517
193,Saint Lucia,18,,,,18,0,,98,,786,4283,183529
194,St. Vincent Grenadines,17,,,,14,3,,153,,155,1398,110899
195,Curaçao,16,,1,,14,1,,98,6,389,2372,164015
196,Dominica,16,,,,16,0,,222,,433,6017,71965
197,Namibia,16,,,,13,3,,6,,2074,818,2535193
198,Saint Kitts and Nevis,15,,,,14,1,,282,,327,6152,53155
199,Falkland Islands,13,,,,13,0,,375,,402,11595,3467
200,Turks and Caicos,12,,1,,10,1,,310,26,109,282,38653
201,Vatican City,12,,,,2,10,,14981,,,,801
202,Comoros,11,,1,,3,7,,13,1,,,867268
203,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
204,Suriname,11,,1,,9,1,,19,2,404,689,586006
205,Greenland,11,,,,11,0,,194,,1721,30321,56759
206,Seychelles,11,,,,11,0,,112,,,,98275
207,MS Zaandam,9,,2,,,7,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,5529,30207
209,Papua New Guinea,8,,,,8,0,,0.9,,2402,269,8925907
210,Caribbean Netherlands,6,,,,6,0,,229,,357,13629,26194
211,St. Barth,6,,,,6,0,,608,,,,9874
212,Western Sahara,6,,,,6,0,,10,,,,595462
213,Anguilla,3,,,,3,0,,200,,,,14987
214,Lesotho,1,,,,,1,,0.5,,,,2140235
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
,Total:,4891419,3295,320137,172,1907423,2663859,44767,627.5,41.1,,,
