Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases_1MPop,Deaths_1MPop,TotalTests,Tests_1MPop,Population
Uganda,489,32.0,0.0,0.0,82.0,407.0,0.0,11.0,0.0,96825.0,2123.0,45610068.0
Sao Tome and Principe,484,0.0,12.0,0.0,68.0,404.0,0.0,2212.0,55.0,175.0,800.0,218820.0
Rï¿½union,477,4.0,1.0,0.0,411.0,65.0,1.0,533.0,1.0,17200.0,19222.0,894819.0
Cabo Verde,466,8.0,5.0,1.0,237.0,224.0,0.0,839.0,9.0,1307.0,2353.0,555509.0
Palestine,451,2.0,3.0,0.0,372.0,76.0,0.0,89.0,1.0,44876.0,8814.0,5091224.0
Togo,445,2.0,13.0,0.0,230.0,202.0,0.0,54.0,2.0,20948.0,2535.0,8262031.0
Taiwan,443,0.0,7.0,0.0,427.0,9.0,0.0,19.0,0.0,72683.0,3052.0,23813566.0
Yemen,399,45.0,87.0,3.0,15.0,297.0,0.0,13.0,3.0,120.0,4.0,29769965.0
Rwanda,384,7.0,2.0,1.0,269.0,113.0,0.0,30.0,0.0,70108.0,5424.0,12924353.0
Malawi,358,22.0,4.0,0.0,42.0,312.0,1.0,19.0,0.0,5049.0,265.0,19086759.0
Isle of Man,336,0.0,24.0,0.0,311.0,1.0,0.0,3953.0,282.0,5003.0,58860.0,84999.0
Mauritius,335,0.0,10.0,0.0,322.0,3.0,0.0,263.0,8.0,122008.0,95948.0,1271611.0
Vietnam,328,0.0,0.0,0.0,298.0,30.0,1.0,3.0,0.0,275000.0,2827.0,97270089.0
Montenegro,324,0.0,9.0,0.0,315.0,0.0,0.0,516.0,14.0,10167.0,16188.0,628060.0
Liberia,311,15.0,28.0,1.0,167.0,116.0,0.0,62.0,6.0,0.0,0.0,5047450.0
Mozambique,307,53.0,2.0,0.0,98.0,207.0,0.0,10.0,0.0,11239.0,360.0,31177845.0
Eswatini,294,1.0,3.0,0.0,198.0,93.0,0.0,254.0,3.0,4994.0,4308.0,1159216.0
Benin,244,1.0,3.0,0.0,148.0,93.0,0.0,20.0,0.0,34682.0,2867.0,12095391.0
Myanmar,232,4.0,6.0,0.0,143.0,83.0,0.0,4.0,0.0,28304.0,520.0,54381717.0
Zimbabwe,206,3.0,4.0,0.0,29.0,173.0,0.0,14.0,0.0,46613.0,3140.0,14845362.0
Martinique,200,0.0,14.0,0.0,98.0,88.0,0.0,533.0,37.0,0.0,0.0,375286.0
Faeroe Islands,187,0.0,0.0,0.0,187.0,0.0,0.0,3828.0,0.0,9677.0,198100.0,48849.0
Mongolia,185,0.0,0.0,0.0,44.0,141.0,19.0,57.0,0.0,14249.0,4352.0,3273961.0
Libya,182,14.0,5.0,0.0,52.0,125.0,0.0,27.0,1.0,6206.0,904.0,6863756.0
Gibraltar,172,2.0,0.0,0.0,151.0,21.0,0.0,5105.0,0.0,7879.0,233854.0,33692.0
Guadeloupe,162,0.0,14.0,0.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,400119.0
Guyana,153,0.0,12.0,0.0,70.0,71.0,2.0,195.0,15.0,1658.0,2109.0,786264.0
Cayman Islands,151,1.0,1.0,0.0,77.0,73.0,0.0,2300.0,15.0,12003.0,182803.0,65661.0
Bermuda,141,0.0,9.0,0.0,113.0,19.0,2.0,2263.0,144.0,7649.0,122789.0,62294.0
Brunei,141,0.0,2.0,0.0,138.0,1.0,1.0,323.0,5.0,19624.0,44891.0,437150.0
Comoros,132,26.0,2.0,0.0,27.0,103.0,0.0,152.0,2.0,0.0,0.0,868029.0
Cambodia,125,0.0,0.0,0.0,123.0,2.0,1.0,7.0,0.0,21087.0,1263.0,16700273.0
Syria,123,0.0,6.0,1.0,50.0,67.0,0.0,7.0,0.0,0.0,0.0,17463880.0
Trinidad and Tobago,117,0.0,8.0,0.0,108.0,1.0,0.0,84.0,6.0,3195.0,2284.0,1399147.0
Bahamas,102,0.0,11.0,0.0,49.0,42.0,1.0,260.0,28.0,2101.0,5347.0,392949.0
Aruba,101,0.0,3.0,0.0,98.0,0.0,0.0,946.0,28.0,2134.0,19994.0,106732.0
Monaco,99,0.0,4.0,0.0,90.0,5.0,1.0,2524.0,102.0,16200.0,413044.0,39221.0
Barbados,92,0.0,7.0,0.0,76.0,9.0,1.0,320.0,24.0,5499.0,19137.0,287349.0
Angola,86,0.0,4.0,0.0,18.0,64.0,1.0,3.0,0.0,10000.0,305.0,32773880.0
Liechtenstein,82,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23610.0,38120.0
Sint Maarten,77,0.0,15.0,0.0,60.0,2.0,1.0,1798.0,350.0,450.0,10505.0,42837.0
Burundi,63,0.0,1.0,0.0,33.0,29.0,0.0,5.0,0.0,284.0,24.0,11859049.0
French Polynesia,60,0.0,0.0,0.0,60.0,0.0,0.0,214.0,0.0,4040.0,14388.0,280784.0
Suriname,54,10.0,1.0,0.0,9.0,44.0,0.0,92.0,2.0,782.0,1334.0,586221.0
Bhutan,47,4.0,0.0,0.0,9.0,38.0,0.0,61.0,0.0,17620.0,22855.0,770934.0
Macao,45,0.0,0.0,0.0,45.0,0.0,0.0,69.0,0.0,0.0,0.0,648621.0
