#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",TotCases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
138,Uganda,489,32,,,82,407,,11,,96825,2123,45610068
139,Sao Tome and Principe,484,,12,,68,404,,2212,55,175,800,218820
140,R�union,477,4,1,,411,65,1,533,1,17200,19222,894819
141,Cabo Verde,466,8,5,1,237,224,,839,9,1307,2353,555509
142,Palestine,451,2,3,,372,76,,89,1,44876,8814,5091224
143,Togo,445,2,13,,230,202,,54,2,20948,2535,8262031
144,Taiwan,443,,7,,427,9,,19,0,72683,3052,23813566
145,Yemen,399,45,87,3,15,297,,13,3,120,4,29769965
146,Rwanda,384,7,2,1,269,113,,30,0,70108,5424,12924353
147,Malawi,358,22,4,,42,312,1,19,0,5049,265,19086759
148,Isle of Man,336,,24,,311,1,,3953,282,5003,58860,84999
149,Mauritius,335,,10,,322,3,,263,8,122008,95948,1271611
150,Vietnam,328,,,,298,30,1,3,,275000,2827,97270089
151,Montenegro,324,,9,,315,0,,516,14,10167,16188,628060
152,Liberia,311,15,28,1,167,116,,62,6,,,5047450
153,Mozambique,307,53,2,,98,207,,10,0,11239,360,31177845
154,Eswatini,294,1,3,,198,93,,254,3,4994,4308,1159216
155,Benin,244,1,3,,148,93,,20,0,34682,2867,12095391
156,Myanmar,232,4,6,,143,83,,4,0,28304,520,54381717
157,Zimbabwe,206,3,4,,29,173,,14,0,46613,3140,14845362
158,Martinique,200,,14,,98,88,,533,37,,,375286
159,Faeroe Islands,187,,,,187,0,,3828,,9677,198100,48849
160,Mongolia,185,,,,44,141,19,57,,14249,4352,3273961
161,Libya,182,14,5,,52,125,,27,1,6206,904,6863756
162,Gibraltar,172,2,,,151,21,,5105,,7879,233854,33692
163,Guadeloupe,162,,14,,138,10,1,405,35,4137,10339,400119
164,Guyana,153,,12,,70,71,2,195,15,1658,2109,786264
165,Cayman Islands,151,1,1,,77,73,,2300,15,12003,182803,65661
166,Bermuda,141,,9,,113,19,2,2263,144,7649,122789,62294
167,Brunei,141,,2,,138,1,1,323,5,19624,44891,437150
168,Comoros,132,26,2,,27,103,,152,2,,,868029
169,Cambodia,125,,,,123,2,1,7,,21087,1263,16700273
170,Syria,123,,6,1,50,67,,7,0,,,17463880
171,Trinidad and Tobago,117,,8,,108,1,,84,6,3195,2284,1399147
172,Bahamas,102,,11,,49,42,1,260,28,2101,5347,392949
173,Aruba,101,,3,,98,0,,946,28,2134,19994,106732
174,Monaco,99,,4,,90,5,1,2524,102,16200,413044,39221
175,Barbados,92,,7,,76,9,1,320,24,5499,19137,287349
176,Angola,86,,4,,18,64,1,3,0,10000,305,32773880
177,Liechtenstein,82,,1,,55,26,,2151,26,900,23610,38120
178,Sint Maarten,77,,15,,60,2,1,1798,350,450,10505,42837
179,Burundi,63,,1,,33,29,,5,0,284,24,11859049
180,French Polynesia,60,,,,60,0,,214,,4040,14388,280784
181,Suriname,54,10,1,,9,44,,92,2,782,1334,586221
182,Bhutan,47,4,,,9,38,,61,,17620,22855,770934
183,Macao,45,,,,45,0,,69,,,,648621
184,Saint Martin,41,,3,,33,5,1,1062,78,614,15902,38612
185,Botswana,40,2,1,,23,16,,17,0,21716,9250,2347627
186,Eritrea,39,,,,39,0,,11,,,,3542456
